iddesa;kdprov;nmprov;kdkab;nmkab;kdkec;nmkec;kddesa;nmdesa;klas;stat_pem
7107030016;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;016;SALEO I;2;DESA
7107030017;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;017;NAGARA;2;DESA
7107030018;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;018;TANJUNG LABUO;2;DESA
7107030019;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;019;BINUNI;2;DESA
7107030020;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;030;BOLANG ITANG TIMUR;020;LIPU BOGU;2;DESA
7107040001;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;001;PAKU;2;DESA
7107040002;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;002;OLLOT II;2;DESA
7107040003;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;003;OLLOT;2;DESA
7107040004;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;004;OLLOT I;1;DESA
7107040005;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;005;SONUO;2;DESA
7107040006;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;006;WAKAT;2;DESA
7107040007;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;007;TOTE;2;DESA
7107040008;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;008;IYOK;2;DESA
7107040009;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;009;LANGI;2;DESA
7107040010;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;010;JAMBU SARANG;1;DESA
7107040011;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;011;TALAGA TUMOAGU;1;DESA
7107040012;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;012;BOLANGITANG;1;DESA
7107040013;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;013;BOLANGITANG I;1;DESA
7107040014;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;014;BOLANGITANG II;1;DESA
7107040015;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;015;TALAGA;1;DESA
7107040016;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;016;PAKU SELATAN;2;DESA
7107040017;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;017;KEIMANGA;2;DESA
7107040018;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;040;BOLANG ITANG BARAT;018;TANJUNG BUAYA;2;DESA
7107050001;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;001;KOMUS DUA;2;DESA
7107050002;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;002;SOLO;2;DESA
7107050003;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;003;INOMUNGA;2;DESA
7107050004;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;004;BOROKO;1;DESA
7107050005;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;005;BOROKO TIMUR;1;DESA
7107050006;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;006;BIGO;1;DESA
7107050007;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;007;KUALA;1;DESA
7107050008;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;008;PONTAK;2;DESA
7107050009;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;009;KUALA UTARA;1;DESA
7107050010;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;010;KOMUS DUA TIMUR;2;DESA
7107050011;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;011;INOMUNGA UTARA;2;DESA
