71;SULAWESI UTARA;01;BOLAANG MONGONDOW;100;BOLAANG;008;INOBONTO;1;004B;150165
71;SULAWESI UTARA;01;BOLAANG MONGONDOW;100;BOLAANG;010;LANGAGON II;2;001B;100438
71;SULAWESI UTARA;01;BOLAANG MONGONDOW;101;BOLAANG TIMUR;002;AMBANG I;2;002B;100446
71;SULAWESI UTARA;01;BOLAANG MONGONDOW;101;BOLAANG TIMUR;004;TADOY I;2;002B;100453
71;SULAWESI UTARA;01;BOLAANG MONGONDOW;101;BOLAANG TIMUR;006;BANTIK;2;004B;100460
71;SULAWESI UTARA;01;BOLAANG MONGONDOW;110;LOLAK;001;BUMBUNG;2;002B;100468
71;SULAWESI UTARA;01;BOLAANG MONGONDOW;110;LOLAK;004;SOLOG;2;002B;100477
71;SULAWESI UTARA;01;BOLAANG MONGONDOW;110;LOLAK;007;LALOW;2;003B;100488
71;SULAWESI UTARA;01;BOLAANG MONGONDOW;110;LOLAK;014;SAUK;2;002B;100500
71;SULAWESI UTARA;01;BOLAANG MONGONDOW;110;LOLAK;019;BATURAPA II;2;001B;100509
71;SULAWESI UTARA;01;BOLAANG MONGONDOW;110;LOLAK;023;PINOGALUMAN TIMUR;2;001B;100519
71;SULAWESI UTARA;01;BOLAANG MONGONDOW;110;LOLAK;026;MONGKOINIT BARAT;2;003B;100526
71;SULAWESI UTARA;01;BOLAANG MONGONDOW;120;SANGTOMBOLANG;011;LOLANAN;2;004B;100536
71;SULAWESI UTARA;01;BOLAANG MONGONDOW;120;SANGTOMBOLANG;018;BATU MERAH;2;002B;100548
71;SULAWESI UTARA;02;MINAHASA;091;LANGOWAN TIMUR;008;WALEURE;1;002B;150010
71;SULAWESI UTARA;02;MINAHASA;091;LANGOWAN TIMUR;012;SUMARAYAR;1;003B;150037
71;SULAWESI UTARA;02;MINAHASA;092;LANGOWAN BARAT;007;RARINGIS;2;002B;100013
71;SULAWESI UTARA;02;MINAHASA;092;LANGOWAN BARAT;009;PASLATEN;1;003B;150066
71;SULAWESI UTARA;02;MINAHASA;092;LANGOWAN BARAT;014;TUMARATAS;2;005B;100025
71;SULAWESI UTARA;02;MINAHASA;092;LANGOWAN BARAT;019;RARINGIS SELATAN;2;002B;100040
71;SULAWESI UTARA;02;MINAHASA;093;LANGOWAN SELATAN;006;WINEBETAN;2;003B;100062
71;SULAWESI UTARA;02;MINAHASA;094;LANGOWAN UTARA;001;WALANTAKAN;1;004B;150090
71;SULAWESI UTARA;02;MINAHASA;094;LANGOWAN UTARA;007;TEMPANG TIGA;1;001B;150105
71;SULAWESI UTARA;02;MINAHASA;110;TOMPASO;010;TEMPOK;2;002B;100080
71;SULAWESI UTARA;02;MINAHASA;110;TOMPASO;013;KAMANGA DUA;1;002B;150129
71;SULAWESI UTARA;02;MINAHASA;111;TOMPASO BARAT;004;TOMPASO DUA;2;002B;100099
71;SULAWESI UTARA;02;MINAHASA;111;TOMPASO BARAT;007;TOUURE DUA;2;003B;100118
71;SULAWESI UTARA;02;MINAHASA;120;KAWANGKOAN;027;UNER SATU;1;001B;150154
71;SULAWESI UTARA;02;MINAHASA;120;KAWANGKOAN;030;TONDEGESAN DUA;2;002B;100141
71;SULAWESI UTARA;02;MINAHASA;121;KAWANGKOAN BARAT;007;TOMBASIAN ATAS SATU;2;002B;100161
71;SULAWESI UTARA;02;MINAHASA;122;KAWANGKOAN UTARA;003;TALIKURAN UTARA;1;003B;150184
71;SULAWESI UTARA;02;MINAHASA;122;KAWANGKOAN UTARA;007;KIAWA DUA;2;002B;100177
71;SULAWESI UTARA;02;MINAHASA;130;SONDER;004;SENDANGAN;1;003B;150206
71;SULAWESI UTARA;02;MINAHASA;130;SONDER;008;TALIKURAN;2;001B;100192
71;SULAWESI UTARA;02;MINAHASA;130;SONDER;013;LEILEM TIGA;1;002B;150227
71;SULAWESI UTARA;02;MINAHASA;160;TOMBARIRI;004;POOPOH;2;002B;100209
71;SULAWESI UTARA;02;MINAHASA;160;TOMBARIRI;006;SENDUK;2;003B;100221
71;SULAWESI UTARA;02;MINAHASA;160;TOMBARIRI;011;BORGO;1;001B;150254
71;SULAWESI UTARA;02;MINAHASA;161;TOMBARIRI TIMUR;001;RANOTONGKOR;2;002B;100238
71;SULAWESI UTARA;02;MINAHASA;161;TOMBARIRI TIMUR;006;LEMOH BARAT;2;002B;100255
71;SULAWESI UTARA;02;MINAHASA;161;TOMBARIRI TIMUR;010;LEMOH UNER;2;003B;100271
71;SULAWESI UTARA;02;MINAHASA;170;PINELENG;002;WAREMBUNGAN;2;009B;100281
71;SULAWESI UTARA;02;MINAHASA;170;PINELENG;003;PINELENG DUA;1;005B;150274
71;SULAWESI UTARA;02;MINAHASA;170;PINELENG;012;SEA;1;010B;150297
71;SULAWESI UTARA;02;MINAHASA;170;PINELENG;019;SEA II;1;005B;150317
71;SULAWESI UTARA;02;MINAHASA;170;PINELENG;031;PINELENG SATU TIMUR;1;001B;150338
71;SULAWESI UTARA;02;MINAHASA;171;TOMBULU;001;KEMBES DUA;2;002B;100295
71;SULAWESI UTARA;02;MINAHASA;171;TOMBULU;001;KEMBES DUA;2;003B;100296
71;SULAWESI UTARA;02;MINAHASA;171;TOMBULU;005;SAWANGAN;2;008B;100326
71;SULAWESI UTARA;02;MINAHASA;171;TOMBULU;006;KOKA;2;007B;100341
71;SULAWESI UTARA;02;MINAHASA;171;TOMBULU;010;RUMENGKOR SATU;2;003B;100362
71;SULAWESI UTARA;02;MINAHASA;172;MANDOLANG;005;KALASEY DUA;2;006B;100380
71;SULAWESI UTARA;02;MINAHASA;172;MANDOLANG;006;KALASEY SATU;1;003B;150360
71;SULAWESI UTARA;02;MINAHASA;172;MANDOLANG;008;TATELI DUA;1;008B;150389
71;SULAWESI UTARA;02;MINAHASA;190;TONDANO BARAT;007;MASARANG;2;004B;100396
71;SULAWESI UTARA;02;MINAHASA;190;TONDANO BARAT;010;RINEGETAN;1;007B;150413
71;SULAWESI UTARA;02;MINAHASA;190;TONDANO BARAT;013;REREWOKAN;1;005B;150447
71;SULAWESI UTARA;02;MINAHASA;191;TONDANO SELATAN;003;TOUNSARU;1;003B;150469
71;SULAWESI UTARA;02;MINAHASA;191;TONDANO SELATAN;007;TATAARAN DUA;1;001B;150519
71;SULAWESI UTARA;02;MINAHASA;191;TONDANO SELATAN;007;TATAARAN DUA;1;015B;150533
71;SULAWESI UTARA;02;MINAHASA;191;TONDANO SELATAN;007;TATAARAN DUA;1;017B;150535
71;SULAWESI UTARA;02;MINAHASA;200;REMBOKEN;005;KASURATAN;2;002B;100414
71;SULAWESI UTARA;02;MINAHASA;200;REMBOKEN;006;SENDANGAN;1;001B;150574
71;SULAWESI UTARA;02;MINAHASA;210;KAKAS;004;KAYUWATU;2;003B;100432
71;SULAWESI UTARA;02;MINAHASA;210;KAKAS;017;SENDANGAN;1;002B;150597
71;SULAWESI UTARA;02;MINAHASA;210;KAKAS;019;KAWENG;2;005B;100453
71;SULAWESI UTARA;02;MINAHASA;211;KAKAS BARAT;003;SIMBEL;2;003B;100472
